"B1606509";"AN345882";"GUIA011120";1/11/2011 0:00:00
"B1606552";"AN349504";"GUIA021120";2/11/2011 0:00:00
"B1606741";"AN355240";"GUIA081120";8/11/2011 0:00:00
"B1606771";"AN357130";"GUIA081120";8/11/2011 0:00:00
"B1606905";"AN357385";"GUIA091120";9/11/2011 0:00:00
"B1607041";"AN351825";"GUIA041120";4/11/2011 0:00:00
"B1642289";"AN360689";"GUIA101120";10/11/2011 0:00:00
"B1642303";"AN362523";"GUIA101120";10/11/2011 0:00:00
"B1642358";"AN363524";"GUIA111120";11/11/2011 0:00:00
"B1642448";"AN364803";"GUIA151120";15/11/2011 0:00:00
"B1642527";"AN370424";"GUIA171120";17/11/2011 0:00:00
"B1642528";"AN372315";"GUIA171120";17/11/2011 0:00:00
"B1642631";"AN373290";"GUIA181120";18/11/2011 0:00:00
"B1642803";"AN368430";"GUIA161120";16/11/2011 0:00:00
"B1642831";"AN368432";"GUIA161120";16/11/2011 0:00:00
"B1642985";"AN364682";"GUIA111120";11/11/2011 0:00:00
"B1655407";"AN458167";"15443006";11/1/2012 0:00:00
"B1655408";"AN459473";"14443006";11/1/2012 0:00:00
"B1655821";"AN461834";"15443048";12/1/2012 0:00:00
"B1655822";"AN462312";"15443048";12/1/2012 0:00:00
"B1655983";"AN466529";"15443123";16/1/2012 0:00:00
"B1655984";"AN466522";"15443123";16/1/2012 0:00:00
"B1656005";"AN469226";"15443165";17/1/2012 0:00:00
"B1666941";"AN463504";"15443086";13/1/2012 0:00:00
"B1669152";"AN394973";"GUIA011220";1/12/2011 0:00:00
"B1669212";"AN397465";"GUIA021220";2/12/2011 0:00:00
"B1669243";"AN404048";"GUIA061220";6/12/2011 0:00:00
"B1669293";"AN449325";"15442875";5/1/2012 0:00:00
"B1669295";"AN450161";"15442875";5/1/2012 0:00:00
"B1669474";"AN445916";"14955156";4/1/2012 0:00:00
"B1679169";"AN412501";"GUIA131220";13/12/2011 0:00:00
"B1679185";"AN382230";"GUIA231120";23/11/2011 0:00:00
"B1679321";"AN378514";"GUIA221120";22/11/2011 0:00:00
"B1679322";"AN379682";"GUIA221120";22/11/2011 0:00:00
"B1679338";"AN377859";"GUIA221120";22/11/2011 0:00:00
"B1679398";"AN452194";"15442921";6/1/2012 0:00:00
"B1679400";"AN452917";"15442921";6/1/2012 0:00:00
"B1681164";"AN390246";"GUIA291120";29/11/2011 0:00:00
"B1681165";"AN391787";"GUIA291120";29/11/2011 0:00:00
"B1681222";"AN393510";"GUIA301120";30/11/2011 0:00:00
"B1681223";"AN394000";"GUIA301120";30/12/2011 0:00:00
"B1681333";"AN383572";"GUIA241120";24/11/2011 0:00:00
"B1681444";"AN388058";"GUIA281120";28/11/2011 0:00:00
"B1681668";"AN403098";"GUIA061220";6/12/2011 0:00:00
"B1681762";"AN401912";"GUIA051220";5/12/2011 0:00:00
"B1681862";"AN405024";"GUIA071220";7/12/2011 0:00:00
